PredefinedBasicID-04;CodeDescriptionENG;CodeDescriptionNOB
04001;Withdrawal of treatment services;Uttak av behandlingstjenester
04002;Withdrawal of goods used for treatment services;Uttak av behandlingsvarer
04003;Sale of goods;Varesalg
04004;Sale of treatment services;Salg av behandlingstjenester
04005;Sale of haircut;Salg av hårklipp
04006;Food ;Mat
04007;Beer;Øl
04008;Wine;Vin
04009;Liquor;Brennevin
04010;Alcopops/Cider;Rusbrus/Cider
04011;Soft drinks/Mineral water;Mineralvann (brus)
04012;Other drinks (tea, coffe etc);Annen drikke (te, kaffe etc)
04013;Tobacco;Tobakk
04014;Other goods;Andre varer
04015;Entrance fee (cover charge);Inngangspenger
04016;Free entrance (members etc);Inngangspenger fri adgang (uten vederlag)
04017;Cloakroom fee;Garderobeavgift
04018;Free cloakroom;Garderobeavgift fri garderobe (uten vederlag)
04019;Accomodation - full board;Helpensjon: Overnatting med frokost, lunsj og middag.
04020;Accomodation - half board;Halvpensjon: Overnatting med frokost og middag
04021;Accomodation - with breakfast;Overnatting med frokost
04999;Other;Øvrige
