AccountID;DescriptionNOB;DescriptionENG;
1000;"Forskning og utvikling, ervervet";"Research and development, acquired";
1005;"Forskning og utvikling, egenutviklet";"Research and development, proprietary";
1020;"Konsesjoner, ervervet";"Concessions, acquired";
1025;"Konsesjoner, egenutviklet";"Concessions, proprietary";
1030;"Patenter, ervervet";"Patents, acquired";
1035;"Patenter, egenutviklet";"Patents, proprietary";
1040;"Lisenser, ervervet";"Licences, acquired";
1045;"Lisenser, egenutviklet";"Licences, proprietary";
1050;"Varemerker, ervervet";"Trade marks, acquired";
1055;"Varemerker, egenutviklet";"Trade marks, proprietary";
1060;"Andre rettigheter, ervervet";"Other rights, acquired";
1065;"Andre rettigheter, egenutviklet";"Other rights, proprietary";
1068;"Innenlands kjøp av rettigheter, omvendt avgiftsplikt";"Domestic purchase of rights, reversed VAT liability";
1069;"Innenlands kjøp av rettigheter, omvendt avgiftsplikt, motkonto";"Domestic purchase of rights, reversed VAT liability, contra account";
1070;"Utsatt skattefordel, brutto";"Deferred tax asset, gross";
1075;"Reduksjon utsatt skattefordel pga manglende realiserbarhet";"Reduction in deferred tax asset due to unrealisibility";
1079;"Utlignbar utsatt skattefordel";"Deferred tax asset that can be offset";
1080;"Goodwill";"Goodwill";
1100;"Bygninger";"Buildings";
1110;"Fast teknisk installasjon i bygning";"Fixed technical installation";
1120;"Bygningsmessige anlegg";"Structural installations";
1130;"Anlegg under utførelse";"Plant under construction";
1140;"Jordbrukseiendommer";"Agricultural property";
1145;"Skogbrukseiendommer";"Forestry property";
1150;"Tomter";"Land";
1155;"Andre grunnarealer";"Other real property";
1160;"Boliger inklusive tomter";"Dwellings including land";
1190;"Grunnlag MVA innførsel av varer, høy sats";"Basis VAT import of goods, high rate";
1191;"Grunnlag MVA innførsel av varer, høy sats, motkonto";"Basis VAT import of goods, high rate, contra account";
1192;"Grunnlag MVA innførsel av varer, middels sats";"Basis VAT import of goods, medium rate";
1193;"Grunnlag MVA innførsel av varer, middels sats, motkonto";"Basis VAT import of goods, medium rate, contra account";
1194;"Grunnlag innførsel av varer med null sats";"Basis import of goods with zero rate";
1195;"Grunnlag innførsel av varer med  null sats, motkonto";"Basis import of goods with zero rate, contra account";
1196;"Grunnlag utgående MVA kjøp tjenester fra utlandet";"Basis outgoing VAT purchase of services from abroad";
1197;"Grunnlag utgående MVA kjøp tjenester fra utlandet, motkonto";"Basis outgoing VAT purchase of services from abroad, contra account";
1200;"Maskiner og anlegg";"Machinery and plant";
1210;"Maskiner og anlegg under utførelse";"Machinery and plant under construction";
1220;"Skip";"Ships";
1224;"Rigger";"Rigs";
1225;"Fly";"Aircrafts";
1230;"Personbiler/stasjonsvogner";"Automobiles/estate cars";
1235;"Varebiler, klasse 1";"Vans, classification 1";
1236;"Varebiler, klasse 2";"Vans, classification 2";
1237;"Lastebiler";"Lorries";
1238;"Busser";"Buses";
1240;"Traktorer";"Tractors";
1242;"Trucker";"Forklifts";
1249;"Andre transportmidler";"Other means of transport";
1250;"Inventar";"Fixtures and fittings";
1260;"Fast bygningsinventar, eget bygg";"Permanent building fixtures and fittings, own building";
1265;"Fast bygningsinventar, leide lokaler";"Permanent building fixtures and fittings, leased premises";
1270;"Verktøy o.l.";"Tools etc.";
1280;"Kontormaskiner";"Office machines";
1290;"Grunnlag MVA innførsel av varer, høy sats";"Basis VAT import of goods, high rate";
1291;"Grunnlag MVA innførsel av varer, høy sats, motkonto";"Basis VAT import of goods, high rate, contra account";
1292;"Grunnlag MVA innførsel av varer, middels sats";"Basis VAT import of goods, medium rate";
1293;"Grunnlag MVA innførsel av varer, middels sats, motkonto";"Basis VAT import of goods, medium rate, contra account";
1294;"Grunnlag innførsel av varer med null sats";"Basis import of goods with zero rate";
1295;"Grunnlag innførsel av varer med  null sats, motkonto";"Basis import of goods with zero rate, contra account";
1296;"Grunnlag utgående MVA kjøp tjenester fra utlandet";"Basis outgoing VAT purchase of services from abroad";
1297;"Grunnlag utgående MVA kjøp tjenester fra utlandet, motkonto";"Basis outgoing VAT purchase of services from abroad, contra account";
1300;"Aksjer i datterselskap";"Shares in subsidiaries";
1305;"Andeler i datterselskap";"Units in subsidiaries";
1306;"Aksjer/andeler i datterselskap, utenlandske, innenfor fritaksmetoden";"Shares/units in subsidiaries, foreign, included in the exemption model";
1308;"Aksjer/andeler i datterselskap, utenlandske, utenfor fritaksmetoden";"Shares/units in subsidiaries, foreign, not included in the exemption model";
1310;"Aksjer i foretak i samme konsern";"Shares in group companies";
1315;"Andeler i foretak i samme konsern";"Units in group companies";
1316;"Aksjer/andeler i foretak i samme konsern, utenlandske, innenfor fritaksmetoden";"Shares/units in group companies, foreign, included in the exemption model";
1318;"Aksjer/andeler i foretak i samme konsern, utenlandske, utenfor fritaksmetoden";"Shares/units in group companies, foreign, not included in the exemption model";
1320;"Lån til datterselskaper";"Loans to subsidiaries";
1325;"Lån til andre foretak i samme konsern";"Loans to other group companies";
1330;"Investeringer i tilknyttet selskap";"Investments in associated companies";
1340;"Lån til tilknyttet selskap";"Loans to associated companies";
1345;"Lån til felles kontrollert virksomhet";"Loans to joint ventures";
1350;"Andre aksjer, norske";"Other shares, Norwegian";
1355;"Andre andeler, norske";"Other units, Norwegian";
1356;"Andre aksjer/andeler, utenlandske, innenfor fritaksmetoden";"Other shares/units, foreign, included in the exemption model";
1357;"Andre aksjer/andeler, utenlandske, utenfor fritaksmetoden";"Other shares/units, foreign, not included in the exemption model";
1358;"Verdipapirfondsandeler";"Securities fund units";
1360;"Obligasjoner";"Bonds";
1370;"Fordringer på eiere";"Receivables from owners";
1375;"Fordringer på styremedlemmer";"Receivables from board members";
1380;"Fordringer på ansatte";"Receivables from employees";
1384;"Fordringer på daglig leder";"Receivables from manager";
1385;"Fordringer på ansatte eiere";"Receivables from employed owners";
1393;"Innskuddsfond";"Deposit fund";
1394;"Overfinansiering av pensjonsforpliktelser (pensjonspremiefond)";"Overfunding of pension liabilities (pension premium fund)";
1395;"Leietakerinnskudd";"Deposits from tenants";
1396;"Depositum";"Deposits";
1397;"Forskuddsleasing";"Prepaid leasing";
1398;"Til gode merverdiavgift";"VAT refundable";
1399;"Andre fordringer";"Other receivables";
1400;"Direkte materialer/råvarer";"Direct materials/raw materials";
1405;"Hjelpematerialer";"Auxiliary materials";
1408;"Driftsmaterialer og reservedeler";"Operating materials and spare parts";
1409;"Beholdningsendring råvarer og innkjøpte halvfabrikater";"Change in stocks of raw materials and semi-manufactures";
1420;"Varer under tilvirkning";"Work in progress";
1429;"Beholdningsendring varer under tilvirkning";"Change in stocks of work in progress";
1440;"Ferdige egentilvirkede varer";"Self-produced finished goods";
1449;"Beholdningsendring ferdige egentilvirkede varer";"Change in stocks of self-produced finished goods";
1460;"Innkjøpte varer for videresalg";"Goods purchased for resale";
1465;"Demonstrasjonsvarer";"Demonstration goods";
1469;"Beholdningsendring innkjøpte varer for videresalg";"Change in stocks of goods purchased for resale";
1470;"Grunnlag MVA innførsel av varer, høy sats";"Basis VAT import of goods, high rate";
1471;"Grunnlag MVA innførsel av varer, høy sats, motkonto";"Basis VAT import of goods, high rate, contra account";
1472;"Grunnlag MVA innførsel av varer, middels sats";"Basis VAT import of goods, medium rate";
1473;"Grunnlag MVA innførsel av varer, middels sats, motkonto";"Basis VAT import of goods, medium rate, contra account";
1474;"Grunnlag innførsel av varer med null sats";"Basis import of goods with zero rate";
1475;"Grunnlag innførsel av varer med  null sats, motkonto";"Basis import of goods with zero rate, contra account";
1476;"Grunnlag utgående MVA kjøp tjenester fra utlandet";"Basis outgoing VAT purchase of services from abroad";
1477;"Grunnlag utgående MVA kjøp tjenester fra utlandet, motkonto";"Basis outgoing VAT purchase of services from abroad, contra account";
1478;"Innenlands kjøp av varer og tjenester, omvendt avgiftsplikt";"Domestic purchase of goods and services, reversed VAT liability";
1479;"Innenlands kjøp av varer og tjenester, omvendt avgiftsplikt, motkonto";"Domestic purchase of goods and services, reversed VAT liability, contra account";
1480;"Forskuddsbetaling til leverandører (varekontrakter/prosjekter)";"Prepayments to suppliers (contracts for goods/projects)";
1490;"Biologiske eiendeler";"Biological assets";
1500;"Kundefordringer";"Trade debtors (accounts receivable from customers)";
1530;"Opptjent, ikke fakturert driftsinntekt";"Accrued, uninvoiced operating income";
1550;"Kundefordringer på selskap i samme konsern";"Trade debtors in group companies (accounts receivable from companies in the same group)";
1560;"Andre fordringer på selskap i samme konsern";"Other debtors in group companies (other receivables from companies in the same group)";
1570;"Reiseforskudd";"Cash advances for travel";
1572;"Lønnsforskudd (som trekkes i lønn senere, jf. konto 1741)";"Advances on wages and salaries (deducted from pay later, cf. account code 1741)";
1573;"Andre kortsiktige lån til ansatte (ikke forskudd lønn, jf. konto 1741)";"Other short-term loans to employees (not advances on wages and salaries, cf. account 1741)";
1574;"Kortsiktig lån aksjonær/deltaker";"Short-term loans to shareholders/partners";
1575;"Mellomregning aksjonær/deltaker";"Current account, shareholders/partners";
1576;"Kortsiktig lån daglig leder";"Short-term loans to manager";
1579;"Andre kortsiktige fordringer";"Other short-term receivables";
1580;"Avsetning tap på kundefordringer";"Provisions for losses on trade debtors";
1585;"Avsetning tap på andre fordringer";"Provisions for losses on other debtors";
1590;"Andre omløpsmidler";"Other current assets";
1600;"Utgående merverdiavgift, høy sats";"Output VAT, high rate";
1601;"Utgående merverdiavgift, middels sats";"Output VAT, middle rate";
1602;"Utgående merverdiavgift, middels sats, 11,11 %";"Output VAT, middle rate, 11,11%";
1603;"Utgående merverdiavgift, lav sats";"Output VAT, low rate";
1604;"Utgående merverdiavgift kjøp tjenester fra utlandet";"Output VAT, purchases of services from abroad";
1605;"Utgående merverdiavgift - innførsel av varer, høy sats";"Output VAT - import of goods, high rate";
1606;"Utgående merverdiavgift - innførsel av varer, middels sats";"Output VAT - import of goods, medium rate";
1607;"Utgående merverdiavgift - innenlands kjøp av varer og tjenester med omvendt avgiftsplikt, høy sats";"Output VAT - domestic purchase of goods and services with reversed VAT liability, high rate";
1610;"Inngående merverdiavgift, høy sats";"Input VAT, high rate";
1611;"Inngående merverdiavgift, middels sats";"Input VAT, middle rate";
1612;"Inngående merverdiavgift, middels sats 11,11%";"Input VAT, middle rate, 11,11%";
1613;"Inngående merverdiavgift, lav sats";"Input VAT, low rate";
1614;"Inngående merverdiavgift kjøp tjenester fra utlandet";"Input VAT, purchases of services from abroad";
1615;"Inngående merverdiavgift - innførsel av varer, høy sats";"Input VAT - import of goods, high rate";
1616;"Inngående merverdiavgift - innførsel av varer, middels sats";"Input VAT -  import of goods, medium rate";
1617;"Inngående merverdiavgift - innenlands kjøp av varer og tjenester med omvendt avgiftsplikt, høy sats";"Input VAT - domestic purchase of goods and services with reversed VAT liability, high rate";
1640;"Oppgjørskonto merverdiavgift";"Settlement account for VAT";
1650;"Merverdiavgiftskompensasjon, høy sats";"VAT compensation, high rate";
1651;"Merverdiavgiftskompensasjon, middels sats";"VAT compensation, middle rate";
1652;"Merverdiavgiftskompensasjon, lav sats";"VAT compensation, low rate";
1654;"Oppgjørskonto kompensert merverdiavgift";"Settlement account for VAT compensation";
1655;"Grunnlag merverdiavgiftskompensasjon, høy sats";"Tax value, VAT compensation, high rate";
1656;"Grunnlag merverdiavgiftskompensasjon, middels sats";"Tax value, VAT compensation, middle rate";
1657;"Grunnlag merverdiavgiftskompensasjon, lav sats";"Tax value, VAT compensation, low rate";
1659;"Motkonto grunnlag merverdiavgiftskompensasjon";"Basis VAT compensation contra account";
1670;"Krav på offentlige tilskudd";"Entitlements to public grants";
1675;"Skattefunn til gode, ikke utlignet";"SkatteFUNN Tax Incentive Scheme credit, not offset";
1700;"Forskuddsbetalt leiekostnad";"Prepaid rental expenses";
1710;"Forskuddsbetalt rentekostnad";"Prepaid interest expenses";
1740;"Forskuddsbetalt, ikke påløpt lønn";"Prepaid, not accrued wages and salaries";
1742;"Forskuddsbetalt strøm, varme mv.";"Prepaid electricity, heat etc.";
1743;"Forskuddsbetalt forsikring";"Prepaid insurance";
1744;"Forskuddsbetalt leasingleie";"Prepaid leasing charges";
1749;"Andre forskuddsbetalte driftskostnader";"Other prepaid operating expenses";
1750;"Påløpt leieinntekt";"Accrued rental income";
1760;"Påløpt renteinntekt";"Accrued interest income";
1780;"Krav på innbetaling av selskapskapital";"Unpaid subscribed capital";
1800;"Aksjer i foretak i samme konsern, norske";"Shares in group companies, Norwegian";
1805;"Andeler i foretak i samme konsern, norske";"Units in group companies, Norwegian";
1806;"Aksjer/andeler i foretak i samme konsern, utenlandske, innenfor fritaksmetoden";"Shares/units in group companies, foreign, included in the exemption model";
1808;"Aksjer/andeler i foretak i samme konsern, utenlandske, utenfor fritaksmetoden";"Shares/units in group companies, foreign, not included in the exemption model";
1810;"Børsnoterte aksjer, norske";"Listed share investments, Norwegian";
1815;"Børsnoterte aksjer, utenlandske, innenfor fritaksmetoden";"Listed share investments, foreign, included in the exemption model";
1816;"Børsnoterte aksjer, utenlandske, utenfor fritaksmetoden";"Listed share investments, foreign, not included in the exemption model";
1820;"Andre ikke børsnoterte aksjer, norske";"Other unlisted share investments, Norwegian";
1825;"Andre ikke børsnoterte aksjer, utenlandske, innenfor fritaksmetoden";"Other unlisted share investments, foreign, included in the exemption model";
1830;"Markedsbaserte obligasjoner, norske";"Quoted bonds, Norwegian";
1835;"Markedsbaserte obligasjoner, utenlandske";"Quoted bonds, foreign";
1840;"Ikke markedsbaserte obligasjoner, norske";"Non-quoted bonds, Norwegian";
1845;"Ikke markedsbaserte obligasjoner, utenlandske";"Non-quoted bonds, foreign";
1850;"Markedsbaserte obligasjoner med kort løpetid (sertifikater), norske";"Quoted bonds with a short maturity (certificates), Norwegian";
1855;"Markedsbaserte obligasjoner med kort løpetid (sertifikater), utenlandske";"Quoted bonds with a short maturity (certificates), foreign";
1860;"Ikke markedsbaserte obligasjoner med kort løpetid (sertifikater), norske";"Non-quoted bonds with a short maturity (certificates), Norwegian";
1865;"Ikke markedsbaserte obligasjoner med kort løpetid (sertifikater), utenlandske";"Non-quoted bonds with a short maturity (certificates), foreign";
1870;"Markedsbaserte opsjoner, norske";"Quoted options, Norwegian";
1875;"Markedsbaserte opsjoner, utenlandske";"Quoted options, foreign";
1880;"Ikke markedsbaserte opsjoner, norske";"Non-quoted options, Norwegian";
1882;"Ikke markedsbaserte opsjoner, utenlandske";"Non-quoted options, foreign";
1889;"Andre finansielle instrumenter";"Other financial instruments";
1890;"Andeler utenfor konsern, norske";"Units outside group companies, Norwegian";
1892;"Andeler utenfor konsern, utenlandske, innenfor fritaksmetoden";"Units outside group companies, foreign, included in the exemption model";
1893;"Andeler utenfor konsern, utenlandske, utenfor fritaksmetoden";"Units outside group companies, foreign, not included in the exemption model";
1900;"Kontanter, NOK";"Cash in hand, NOK";
1905;"Kontanter, euro";"Cash in hand, EUR";
1908;"Kontanter, annen valuta";"Cash in hand, other currencies";
1909;"Kassedifferanse";"Cash balance";
1920;"Bankinnskudd";"Bank deposits";
1950;"Bankinnskudd for skattetrekk";"Bank deposits for tax withholdings";
1960;"Bankinnskudd utland";"Bank deposits, abroad";
2000;"Aksjekapital / Egenkapital, bundet";"Subscribed share capital / Equity, undistributable";
2010;"Egne aksjer / Felleseid andelskapital";"Own shares (treasury stock) / Jointly-owned cooperative share capital";
2020;"Overkurs";"Share premium reserve";
2030;"Annen innskutt egenkapital / Ikke registrert kapitalforhøyelse";"Other paid-in capital / Non-authorised increase in capital";
2032;"Ikke registrert fondsemisjon";"Non-authorised capitalisation issue";
2033;"Ikke registrert kapitalnedsettelse";"Non-authorised reduction in capital";
2035;"Annen innskutt egenkapital";"Other paid-in capital";
