GroupingCategory;CategoryDescriptionNOB;GroupingCode;CodeDescriptionNOB
KA;KOSTRA Arts;10;FASTLØNN 
KA;KOSTRA Arts;20;LØNN TIL VIKARER
KA;KOSTRA Arts;30;LØNN TIL EKSTRAHJELP
KA;KOSTRA Arts;40;OVERTIDSLØNN
KA;KOSTRA Arts;50;ANNEN LØNN OG TREKKPLIKTIGE GODTGJØRELSER
KA;KOSTRA Arts;70;LØNN VEDLIKEHOLD/LØNN NYBYGG OG NYANLEGG
KA;KOSTRA Arts;75;LØNN RENHOLD
KA;KOSTRA Arts;80;GODTGJØRELSE FOLKEVALGTE 
KA;KOSTRA Arts;89;TREKKPLIKTIG/OPPLYSNINGSPLIKTIG, IKKE ARBEIDSGIVERAVGIFTSPLIKTIG LØNN
KA;KOSTRA Arts;90;PENSJONSINNSKUDD OG TREKKPLIKTIGE FORSIKRINGSORDNINGER
KA;KOSTRA Arts;99;ARBEIDSGIVERAVGIFT
KA;KOSTRA Arts;100;KONTORMATERIELL
KA;KOSTRA Arts;105;UNDERVISNINGSMATERIELL
KA;KOSTRA Arts;110;MEDISINSK FORBRUKSMATERIELL
KA;KOSTRA Arts;114;MEDIKAMENTER
KA;KOSTRA Arts;115;MATVARER
KA;KOSTRA Arts;120;SAMLEPOST ANNET FORBRUKSMATERIELL,RÅVARER OG TJENESTER
KA;KOSTRA Arts;130;POST, BANKTJENESTER, TELEFON, INTERNETT/BREDBÅND
KA;KOSTRA Arts;140;ANNONSE, REKLAME, INFORMASJON
KA;KOSTRA Arts;150;OPPLÆRING, KURS
KA;KOSTRA Arts;160;UTGIFTER OG GODTGJØRELSER FOR REISER, DIETT, BIL MV. SOM ER OPPLYSNINGSPLIKTIGE
KA;KOSTRA Arts;165;ANDRE OPPLYSNINGSPLIKTIGE GODTGJØRELSER
KA;KOSTRA Arts;170;TRANSPORT/DRIFT AV EGNE OG LEIDE TRANSPORTMIDLER (HERUNDER ANLEGGSMASKINER OG LIGNENDE)
KA;KOSTRA Arts;180;STRØM
KA;KOSTRA Arts;181;FJERNVARME/FJERNKJØLING
KA;KOSTRA Arts;182;FYRINGSOLJE OG FYRINGSPARAFIN
KA;KOSTRA Arts;183;NATURGASS OG ANDRE FOSSILE GASSER
KA;KOSTRA Arts;184;BIOENERGI
KA;KOSTRA Arts;185;FORSIKRINGER OG UTGIFTER TIL VAKTHOLD OG SIKRING
KA;KOSTRA Arts;190;LEIE AV LOKALER OG GRUNN
KA;KOSTRA Arts;195;AVGIFTER, GEBYRER, LISENSER O.L.
KA;KOSTRA Arts;200;KJØP OG FINANSIELL LEASING AV DRIFTSMIDLER
KA;KOSTRA Arts;209;MEDISINSK UTSTYR
KA;KOSTRA Arts;210;KJØP,LEIE OG LEASING AV TRANSPORTMIDLER
KA;KOSTRA Arts;220;LEIE AV DRIFTSMIDLER 
KA;KOSTRA Arts;230;VEDLIKEHOLD, BYGG-/ANLEGGSTJENESTER OG NYBYGG/NYANLEGG
KA;KOSTRA Arts;240;DRIFTSAVTALER, REPARASJONER OG VAKTMESTERTJENESTER
KA;KOSTRA Arts;250;MATERIALER TIL VEDLIKEHOLD,PÅKOSTNING OG NYBYGG/NYANLEGG
KA;KOSTRA Arts;260;RENHOLDS- OG VASKERITJENESTER
KA;KOSTRA Arts;270;ANDRE TJENESTER (SOM INNGÅR I EGENPRODUKSJON)
KA;KOSTRA Arts;280;GRUNNERVERV
KA;KOSTRA Arts;285;KJØP AV EKSISTERENDE BYGG/ANLEGG 
KA;KOSTRA Arts;300;KJØP FRA STATEN
KA;KOSTRA Arts;330;KJØP FRA FYLKESKOMMUNER
KA;KOSTRA Arts;350;KJØP FRA KOMMUNER
KA;KOSTRA Arts;370;KJØP FRA ANDRE (PRIVATE)
KA;KOSTRA Arts;375;KJØP FRA IKS DER KOMMUNEN/FYLKESKOMMUNEN SELV ER DELTAGER
KA;KOSTRA Arts;380;KJØP FRA (FYLKES)KOMMUNALT FORETAK I EGEN KOMMUNE/FYLKESKOMMUNE
KA;KOSTRA Arts;400;OVERFØRING TIL STATEN
KA;KOSTRA Arts;429;MERVERDIAVGIFT SOM GIR RETT TIL MVAKOMPENSASJON
KA;KOSTRA Arts;430;OVERFØRING TIL FYLKESKOMMUNER
KA;KOSTRA Arts;450;OVERFØRING TIL KOMMUNER
KA;KOSTRA Arts;470;OVERFØRING TIL ANDRE (PRIVATE)
KA;KOSTRA Arts;475;OVERFØRING TIL IKS DER KOMMUNEN/FYLKESKOMMUNEN SELV ER DELTAGER
KA;KOSTRA Arts;480;OVERFØRING TIL (FYLKES)KOMMUNALT FORETAK I EGEN KOMMUNE/FYLKESKOMMUNE
KA;KOSTRA Arts;490;RESERVERTE BEVILGNINGER/AVSETNINGER 
KA;KOSTRA Arts;500;RENTEUTGIFTER, PROVISJONER OG ANDRE FINANSUTGIFTER
KA;KOSTRA Arts;501;KONSERNINTERNE RENTEUTGIFTER
KA;KOSTRA Arts;509;TAP FINANSIELLE INSTRUMENTER
KA;KOSTRA Arts;510;AVDRAG
KA;KOSTRA Arts;511;KONSERNINTERNE AVDRAG
