GroupingCategory;CategoryDescriptionNOB;GroupingCode;CodeDescriptionNOB
KA_KS;KOSTRA Arts KS;10;FASTLØN
KA_KS;KOSTRA Arts KS;20;LØNN TIL VIKARER
KA_KS;KOSTRA Arts KS;30;LØNN TIL EKSTRAHJELP
KA_KS;KOSTRA Arts KS;40;OVERTIDSLØNN
KA_KS;KOSTRA Arts KS;50;ANNEN LØNN OG TREKKPLIKTIGE GODTGJØRELSER
KA_KS;KOSTRA Arts KS;70;LØNN VEDLIKEHOLD/LØNN NYBYGG OG NYANLEGG
KA_KS;KOSTRA Arts KS;75;LØNN RENHOLD
KA_KS;KOSTRA Arts KS;80;GODTGJØRELSE FOLKEVALGTE
KA_KS;KOSTRA Arts KS;89;TREKKPLIKTIG/OPPLYSNINGSPLIKTIG, IKKE ARBEIDSGIVERAVGIFTSPLIKTIG LØNN
KA_KS;KOSTRA Arts KS;90;PENSJONSINNSKUDD OG TREKKPLIKTIGE FORSIKRINGSORDNINGER
KA_KS;KOSTRA Arts KS;99;ARBEIDSGIVERAVGIFT
KA_KS;KOSTRA Arts KS;100;KONTORMATERIELL
KA_KS;KOSTRA Arts KS;105;UNDERVISNINGSMATERIELL
KA_KS;KOSTRA Arts KS;110;MEDISINSK FORBRUKSMATERIELL
KA_KS;KOSTRA Arts KS;114;MEDIKAMENTER
KA_KS;KOSTRA Arts KS;115;MATVARER
KA_KS;KOSTRA Arts KS;120;SAMLEPOST ANNET FORBRUKSMATERIELL,RÅVARER OG TJENESTER
KA_KS;KOSTRA Arts KS;130;POST, BANKTJENESTER, TELEFON, INTERNETT/BREDBÅND
KA_KS;KOSTRA Arts KS;140;ANNONSE, REKLAME, INFORMASJON
KA_KS;KOSTRA Arts KS;150;OPPLÆRING, KURS
KA_KS;KOSTRA Arts KS;160;UTGIFTER OG GODTGJØRELSER FOR REISER, DIETT, BIL MV. SOM ER OPPLYSNINGSPLIKTIGE
KA_KS;KOSTRA Arts KS;165;ANDRE OPPLYSNINGSPLIKTIGE GODTGJØRELSER
KA_KS;KOSTRA Arts KS;170;TRANSPORT/DRIFT AV EGNE OG LEIDE TRANSPORTMIDLER (HERUNDER ANLEGGSMASKINER OG LIGNENDE)
KA_KS;KOSTRA Arts KS;180;STRØM
KA_KS;KOSTRA Arts KS;181;FJERNVARME/FJERNKJØLING
KA_KS;KOSTRA Arts KS;182;FYRINGSOLJE OG FYRINGSPARAFIN
KA_KS;KOSTRA Arts KS;183;NATURGASS OG ANDRE FOSSILE GASSER
KA_KS;KOSTRA Arts KS;184;BIOENERGI
