GroupingCategory;CategoryDescriptionNOB;GroupingCode;CodeDescriptionNOB
KA_K;KOSTRA Arts_K;10;FASTLØNN 
KA_K;KOSTRA Arts_K;20;LØNN TIL VIKARER
KA_K;KOSTRA Arts_K;30;LØNN TIL EKSTRAHJELP
KA_K;KOSTRA Arts_K;40;OVERTIDSLØNN
KA_K;KOSTRA Arts_K;50;ANNEN LØNN OG TREKKPLIKTIGE GODTGJØRELSER
KA_K;KOSTRA Arts_K;70;LØNN VEDLIKEHOLD/LØNN NYBYGG OG NYANLEGG
KA_K;KOSTRA Arts_K;75;LØNN RENHOLD
KA_K;KOSTRA Arts_K;80;GODTGJØRELSE FOLKEVALGTE 
KA_K;KOSTRA Arts_K;89;TREKKPLIKTIG/OPPLYSNINGSPLIKTIG, IKKE ARBEIDSGIVERAVGIFTSPLIKTIG LØNN
KA_K;KOSTRA Arts_K;90;PENSJONSINNSKUDD OG TREKKPLIKTIGE FORSIKRINGSORDNINGER
KA_K;KOSTRA Arts_K;99;ARBEIDSGIVERAVGIFT
KA_K;KOSTRA Arts_K;100;KONTORMATERIELL
KA_K;KOSTRA Arts_K;105;UNDERVISNINGSMATERIELL
KA_K;KOSTRA Arts_K;110;MEDISINSK FORBRUKSMATERIELL
KA_K;KOSTRA Arts_K;114;MEDIKAMENTER
KA_K;KOSTRA Arts_K;115;MATVARER
KA_K;KOSTRA Arts_K;120;SAMLEPOST ANNET FORBRUKSMATERIELL,RÅVARER OG TJENESTER
KA_K;KOSTRA Arts_K;130;POST, BANKTJENESTER, TELEFON, INTERNETT/BREDBÅND
KA_K;KOSTRA Arts_K;140;ANNONSE, REKLAME, INFORMASJON
KA_K;KOSTRA Arts_K;150;OPPLÆRING, KURS
KA_K;KOSTRA Arts_K;160;UTGIFTER OG GODTGJØRELSER FOR REISER, DIETT, BIL MV. SOM ER OPPLYSNINGSPLIKTIGE
KA_K;KOSTRA Arts_K;165;ANDRE OPPLYSNINGSPLIKTIGE GODTGJØRELSER
KA_K;KOSTRA Arts_K;170;TRANSPORT/DRIFT AV EGNE OG LEIDE TRANSPORTMIDLER (HERUNDER ANLEGGSMASKINER OG LIGNENDE)
KA_K;KOSTRA Arts_K;180;STRØM
KA_K;KOSTRA Arts_K;181;FJERNVARME/FJERNKJØLING
KA_K;KOSTRA Arts_K;182;FYRINGSOLJE OG FYRINGSPARAFIN
KA_K;KOSTRA Arts_K;183;NATURGASS OG ANDRE FOSSILE GASSER
KA_K;KOSTRA Arts_K;184;BIOENERGI
