GroupingCategory;CategoryDescriptionNOB;GroupingCode;CodeDescriptionNOB
KA_K;KOSTRA Arts_K;010;Fastlønn
KA_K;KOSTRA Arts_K;020;Lønn til vikarer
KA_K;KOSTRA Arts_K;030;Lønn til ekstrahjelp
KA_K;KOSTRA Arts_K;040;Overtidslønn
KA_K;KOSTRA Arts_K;050;Annen lønn og trekkpliktige godtgjørelser
KA_K;KOSTRA Arts_K;070;Lønn til vedlikehold, påkostning, nybygg og nyanlegg
KA_K;KOSTRA Arts_K;075;Lønn til renhold
KA_K;KOSTRA Arts_K;080;Godtgjørelser til folkevalgte
KA_K;KOSTRA Arts_K;089;Trekkpliktig, opplysningspliktig, ikke arbeidsgiveravgiftspliktig lønn
KA_K;KOSTRA Arts_K;090;Pensjonsinnskudd og trekkpliktige forsikringsordninger
KA_K;KOSTRA Arts_K;099;Arbeidsgiveravgift
KA_K;KOSTRA Arts_K;100;Kontormateriell
KA_K;KOSTRA Arts_K;105;Undervisningsmateriell
KA_K;KOSTRA Arts_K;110;Medisinsk forbruksmateriell
KA_K;KOSTRA Arts_K;114;Medikamenter
KA_K;KOSTRA Arts_K;115;Matvarer
KA_K;KOSTRA Arts_K;120;Samlepost for annet forbruksmateriell, varer og tjenester
KA_K;KOSTRA Arts_K;130;Post, bank, telefon, internett, bredbånd
KA_K;KOSTRA Arts_K;140;Annonser, reklame, informasjon
KA_K;KOSTRA Arts_K;150;Opplæring og kurs
KA_K;KOSTRA Arts_K;160;Utgifter og godtgjørelser for reiser, diett, bil mv. som er opplysningspliktige
KA_K;KOSTRA Arts_K;165;Andre opplysningspliktige godtgjørelser
KA_K;KOSTRA Arts_K;170;Transport og reise
KA_K;KOSTRA Arts_K;180;Strøm 
KA_K;KOSTRA Arts_K;181;Fjernvarme og fjernkjøling
KA_K;KOSTRA Arts_K;182;Fyringsolje og fyringsparafin
KA_K;KOSTRA Arts_K;183;Naturgass og andre fossile gasser
KA_K;KOSTRA Arts_K;184;Bioenergi 
KA_K;KOSTRA Arts_K;185;Forsikringer, vakthold og sikring 
KA_K;KOSTRA Arts_K;190;Leie av lokaler og grunn
KA_K;KOSTRA Arts_K;195;Avgifter, gebyrer, lisenser o.l.
KA_K;KOSTRA Arts_K;200;Kjøp og finansiell leasing av driftsmidler
KA_K;KOSTRA Arts_K;209;Medisinsk utstyr
KA_K;KOSTRA Arts_K;210;Kjøp og leie av transportmidler
KA_K;KOSTRA Arts_K;220;Leie av driftsmidler
KA_K;KOSTRA Arts_K;230;Vedlikehold, påkostning, nybygg og nyanlegg
KA_K;KOSTRA Arts_K;240;Driftsavtaler, reparasjoner og vaktmestertjenester
KA_K;KOSTRA Arts_K;250;Materialer til vedlikehold, påkostning, nybygg og nyanlegg
KA_K;KOSTRA Arts_K;260;Renholds- og vaskeritjenester
KA_K;KOSTRA Arts_K;270;Andre tjenester 
KA_K;KOSTRA Arts_K;280;Grunnerverv
KA_K;KOSTRA Arts_K;285;Kjøp av eksisterende bygninger og anlegg
KA_K;KOSTRA Arts_K;300;Kjøp fra  staten
KA_K;KOSTRA Arts_K;330;Kjøp fra fylkeskommuner
KA_K;KOSTRA Arts_K;350;Kjøp fra kommuner
KA_K;KOSTRA Arts_K;370;Kjøp fra andre 
KA_K;KOSTRA Arts_K;375;Kjøp fra interkommunalt selskap der kommunen eller fylkeskommunen selv er deltaker
