GroupingCode;CategoryDescriptionNOB;GroupingCategory
1000;Forskning og utvikling, ervervet;Eiendeler
1005;Forskning og utvikling, egenutviklet;Eiendeler
1020;Konsesjoner, ervervet;Eiendeler
1025;Konsesjoner, egenutviklet;Eiendeler
1030;Patenter, ervervet;Eiendeler
1035;Patenter, egenutviklet;Eiendeler
1040;Lisenser, ervervet;Eiendeler
1045;Lisenser, egenutviklet;Eiendeler
1050;Varemerker, ervervet;Eiendeler
1055;Varemerker, egenutviklet;Eiendeler
1060;Andre rettigheter, ervervet;Eiendeler
1065;Andre rettigherer, egenutviklet;Eiendeler
1070;Utsatt skattefordel;Eiendeler
1080;Goodwill, ervervet;Eiendeler
1100;Forretningsbygg;Eiendeler
1117;Elektroteknisk utrustning i kraftforetak;Eiendeler
1120;Bygningsmessig anlegg;Eiendeler
1130;Anlegg under utførelse;Eiendeler
1140;Jordbrukseiendommer;Eiendeler
1145;Skogbrukseiendommer;Eiendeler
1150;Tomter;Eiendeler
1155;Andre grunnarealer;Eiendeler
1160;Boliger inkl. tomter;Eiendeler
1180;Investeringseiendommer;Eiendeler
1190;Andre anleggsmidler;Eiendeler
1200;Maskiner og anlegg;Eiendeler
1210;Maskiner og anlegg under utførelse;Eiendeler
1220;Skip;Eiendeler
1224;Rigger;Eiendeler
1225;Fly;Eiendeler
1230;Vare- og lastebiler;Eiendeler
1233;Varebiler;Eiendeler
1236;Lastebiler;Eiendeler
1238;Busser;Eiendeler
1239;Elektriske varebiler;Eiendeler
1240;Traktorer;Eiendeler
1248;Trucker;Eiendeler
1249;Andre transportmidler;Eiendeler
1250;Inventar;Eiendeler
1260;Fast bygningsinventar, eget bygg;Eiendeler
1265;Fast bygningsinventar, leide bygg;Eiendeler
1270;Verktøy o.l.;Eiendeler
1280;Kontormaskiner;Eiendeler
1290;Andre driftsmidler;Eiendeler
1291;Andre driftsmidler, ikke avskrivbare;Eiendeler
1299;Negativ gevinst- og tapskonto;Eiendeler
1300;Investeringer i datterselskap;Eiendeler
1310;Investeringer i annet foretak i samme konsern;Eiendeler
1312;Investeringer i deltakerliknede datter- og konsernselskap;Eiendeler
1320;Lån til foretak i samme konsern;Eiendeler
1330;Investeringer i tilknyttete selskap;Eiendeler
1340;Lån til tilknyttet selskap og felles kontrollert virksomhet;Eiendeler
1350;Investeringer i aksjer, andeler og verdipapirfondsandeler;Eiendeler
1360;Obligasjoner;Eiendeler
1370;Fordringer på eiere;Eiendeler
1375;Fordringer på styremedlemmer;Eiendeler
1380;Fordringer på ansatte;Eiendeler
1394;Overfinansiering av pensjonsforpliktelser;Eiendeler
1395;Leietakerinnskudd;Eiendeler
1396;Depositum;Eiendeler
1397;Forskuddsleasing;Eiendeler
1398;Påkostning leide driftsmidler;Eiendeler
1399;Andre fordringer;Eiendeler
1400;Råvarer;Eiendeler
1401;Halvfabrikata;Eiendeler
1405;Hjelpematerialer;Eiendeler
1408;Driftsmaterialer og reservedeler;Eiendeler
1409;Beholdningsendring;Eiendeler
1420;Varer under tilvirkning;Eiendeler
1429;Beholdningsendring;Eiendeler
1440;Ferdig egentilvirkede varer;Eiendeler
1449;Beholdningsendring;Eiendeler
1460;Innkjøpte varer for videresalg;Eiendeler
1465;Demonstrasjonsvarer;Eiendeler
1469;Beholdningsendring;Eiendeler
1480;Forskuddsbetaling til leverandører;Eiendeler
1490;Biologiske eiendeler;Eiendeler
1500;Kundefordringer;Eiendeler
1530;Opptjent, ikke fakturert driftsinntekt;Eiendeler
1550;Kundefordringer på selskap i samme konsern;Eiendeler
1560;Andre fordringer på selskap i samme konsern;Eiendeler
1570;Reiseforskudd;Eiendeler
1571;Lønnsforskudd;Eiendeler
1572;Andre kortsiktige lån til ansatte;Eiendeler
1575;Forskudd refusjon skatt etter skatteloven § 16-50;Eiendeler
1576;Kortsiktige fordringer eiere/styremedl. o.l.;Eiendeler
1579;Andre kortsiktige fordringer;Eiendeler
1580;Avsetning tap på kundefordringer;Eiendeler
1585;Avsetning tap på andre fordringer;Eiendeler
1590;Andre omløpsmidler;Eiendeler
1600;Utgående merverdiavgift, høy sats;Eiendeler
1601;Utgående merverdiavgift, middels sats;Eiendeler
1602;Utgående merverdiavgift, lav sats;Eiendeler
1603;Utgående merverdiavgift kjøp av tjenester fra utlandet;Eiendeler
1610;Inngående merverdiavgift, høy sats;Eiendeler
1611;Inngående merverdiavgift, middels sats;Eiendeler
1612;Inngående merverdiavgift, lav sats;Eiendeler
1613;Direktepostert inngående merverdiavgift ved innførsel, høy sats;Eiendeler
1614;Direktepostert inngående merverdiavgift ved innførsel, middels sats;Eiendeler
1640;Oppgjørskonto merverdiavgift;Eiendeler
1650;Kompensert merverdiavgift, høy sats;Eiendeler
1651;Kompensert merverdiavgift, middels sats;Eiendeler
1652;Kompensert merverdiavgift, lav sats;Eiendeler
1654;Oppgjørskonto kompensert merverdiavgift;Eiendeler
1655;Grunnlag kompensert merverdiavgift, høy sats;Eiendeler
1656;Grunnlag kompensert merverdiavgift, middels sats;Eiendeler
1657;Grunnlag kompensert merverdiavgift, lav sats;Eiendeler
1659;Motkonto grunnlag kompensert merverdiavgift;Eiendeler
1670;Krav på offentlige tilskudd;Eiendeler
1700;Forskuddsbetalt leiekostnad;Eiendeler
1710;Forskuddsbetalt rentekostnad;Eiendeler
1720;Andre depositum;Eiendeler
1740;Forskuddsbetalt, ikke påløpt lønn;Eiendeler
1741;Forskuddsbetalt strøm, varme m.v.;Eiendeler
1742;Forskuddsbetalt forsikring;Eiendeler
1743;Forskuddsbetalt leasing (kortsiktig);Eiendeler
1749;Andre forskuddsbetalte kostnader;Eiendeler
1750;Påløpt leieinntekt;Eiendeler
1760;Påløpt renteinntekt;Eiendeler
1770;Andre periodiseringer;Eiendeler
1780;Krav på innbetaling av selskapskapital;Eiendeler
1800;Aksjer og andeler i foretak i samme konsern;Eiendeler
1810;Markedsbaserte aksjer og verdipapirfondsandeler;Eiendeler
1820;Andre aksjer;Eiendeler
1830;Markedsbaserte obligasjoner;Eiendeler
1840;Andre obligasjoner;Eiendeler
1850;Markedsbaserte obligasjoner med kort løpetid (sertifikater);Eiendeler
1860;Andre obligasjoner med kort løpetid (sertifikater);Eiendeler
1870;Andre markedsbaserte finansielle instrumenter;Eiendeler
1880;Andre finansielle instrumenter;Eiendeler
1900;Kontanter NOK;Eiendeler
1908;Kontanter annen valuta;Eiendeler
1909;Kassedifferanser;Eiendeler
1920;Bankinnskudd;Eiendeler
1940;Bankinnskudd utland;Eiendeler
1950;Bankinnskudd for skattetrekk;Eiendeler
2000;Aksjekapital;Egenkapital
2010;Egne aksjer;Egenkapital
2020;Overkurs;Egenkapital
2025;Ikke registrert kapitalforhøyelse/kapitalnedsettelse;Egenkapital
2030;Annen innskutt egenkapital;Egenkapital
2036;Stiftelseskostnader;Egenkapital
2040;Fond for vurderingsforskjeller;Egenkapital
2041;Fond for vurderingsforskjeller i deltakerlignende selskap;Egenkapital
2042;Fond for verdiendringer i andre selskap;Egenkapital
2045;Fond for urealiserte gevinster;Egenkapital
2050;Annen egenkapital;Egenkapital
2051;Ikke fradragsberettigede representasjonskostnader;Egenkapital
2052;Ikke fradragsberettigede kontigenter/gaver;Egenkapital
2053;Andre ikke fradragsberettigede kostnader;Egenkapital
2054;Skattefrie inntekter;Egenkapital
2055;Innskudd kontanter;Egenkapital
2056;Innskudd andre eiendeler;Egenkapital
2057;Fradragsført bruk av privat bil etter sats;Egenkapital
2058;Øvrige egenkapitalkorreksjoner;Egenkapital
2061;Kontantuttak;Egenkapital
2063;Uttak av driftsmidler;Egenkapital
2064;Uttak av varer og tjenester;Egenkapital
2065;Egen bolig i næringsbygg;Egenkapital
2067;Lys og varme privat;Egenkapital
2068;Private kostnader til elektronisk kommunikasjon;Egenkapital
2069;Diverse andre private kostnader;Egenkapital
2072;Skatter;Egenkapital
2075;Privat bruk av næringsbil;Egenkapital
2077;Premie til egen syke- og ulykkesforsikring;Egenkapital
2078;Premie til tilleggstrygd for sykepenger;Egenkapital
2080;Udekket tap;Egenkapital
2091;Negativ saldo saldogruppe A;Egenkapital
2092;Negativ saldo saldogruppe C1;Egenkapital
2093;Negativ saldo saldogruppe C;Egenkapital
2095;Negativ saldo saldogruppe D;Egenkapital
2096;Positiv gevinst- og tapskonto;Egenkapital
2099;Overføringer annen egenkapital;Egenkapital
2100;Pensjonsforpliktelser;Gjeld
2120;Utsatt skatt;Gjeld
2160;Uopptjent inntekt;Gjeld
2180;Andre avsetninger for forpliktelser;Gjeld
2200;Konvertible lån;Gjeld
2210;Obligasjonslån;Gjeld
2220;Gjeld til kredittinstitusjoner;Gjeld
2240;Pantelån;Gjeld
2250;Gjeld til ansatte og eiere;Gjeld
2260;Gjeld til selskap i samme konsern;Gjeld
